Numero de Requisito	Detalle de requisito	Prioridad del requisito
RF-81	El sistema debera generar un modulo de inicio de sesion para el acceso de usuarios internos del CTA.	ALTA
RF-82	El formulario de inicio de sesion debe solicitar: Usuario y Contraseña.	ALTA
RF-83	El sistema debera validar las credenciales del usuario contra la base de datos antes de permitir el acceso.	ALTA
RF-84	El sistema debera permitir el acceso unicamente a usuarios autorizados con rol CELADOR o ADMIN.	ALTA
RF-85	El sistema debera guardar la sesion activa del usuario autenticado para mantener el acceso al dashboard y a los modulos permitidos.	ALTA
RF-86	El sistema debera redirigir automaticamente al dashboard cuando el usuario ya tenga una sesion activa e intente ingresar nuevamente al login.	ALTA
RF-87	El sistema debera permitir cerrar sesion y redirigir nuevamente al modulo de inicio de sesion.	ALTA
RF-88	El sistema debera restringir el acceso a las vistas administrativas unicamente a usuarios con rol administrador.	ALTA
RF-89	El dashboard debera mostrar modulos diferentes segun el rol autenticado del usuario.	ALTA
RF-90	El dashboard del administrador debera mostrar estadisticas de aprendices registrados por trimestre y por año.	MEDIA
RF-91	El sistema debera generar un modulo administrativo para la correccion de registros de ingreso y salida.	ALTA
RF-92	El modulo de correccion de registros debera permitir buscar aprendices y filtrar registros administrativos mediante lapsos de fecha predefinidos.	ALTA
RF-93	El sistema debera permitir eliminar ingresos o salidas desde el modulo administrativo de correccion de registros.	ALTA
RF-94	Para eliminar un registro, el sistema debera exigir la verificacion del aprendiz mediante documento o nombre completo, junto con una observacion del motivo.	ALTA
RF-95	El sistema debera mostrar el estado del movimiento administrativo como Completo o Pendiente antes de permitir una correccion.	MEDIA
RF-96	El sistema debera generar un modulo administrativo para visualizar maquinas prestadas entre aprendices.	ALTA
RF-97	El modulo de maquinas prestadas debera permitir alternar la vista entre computadores y vehiculos.	ALTA
RF-98	El sistema debera permitir buscar prestamos por serial, placa, propietario, receptor o documento del aprendiz.	ALTA
RF-99	El sistema debera mostrar en la tabla de prestamos: datos del activo, aprendiz que presta, aprendiz que recibe, documento y tiempo transcurrido desde el registro.	ALTA
RF-100	El sistema debera generar un modulo administrativo para visualizar todos los aprendices registrados y su actividad dentro del CTA.	ALTA
RF-101	El modulo de aprendices y actividad debera permitir buscar por nombre, apellido o documento del aprendiz.	ALTA
RF-102	El sistema debera permitir filtrar aprendices por cantidad de dias sin asistir al CTA.	MEDIA
RF-103	El sistema debera mostrar para cada aprendiz: actividad acumulada, total de sesiones, ultima visita y dias de inasistencia.	ALTA
RF-104	El sistema debera permitir abrir un modal para consultar el detalle completo de las maquinas registradas por cada aprendiz.	ALTA
RF-105	El detalle de maquinas del aprendiz debera identificar si la maquina registrada corresponde a un equipo principal o secundario.	MEDIA
RF-106	El sistema debera generar un centro de alertas para la visualizacion de eventos administrativos detectados.	ALTA
RF-107	El centro de alertas debera mostrar alertas por prestamos de maquinas entre aprendices y por inasistencia prolongada.	ALTA
RF-108	El sistema debera mostrar unicamente alertas de inasistencia para aprendices con 3 dias o mas sin asistir al CTA.	ALTA
RF-109	El sistema debera mostrar en cada alerta: nombre del aprendiz, documento, resumen del evento, detalles relacionados y marca de tiempo.	ALTA
RF-110	El sistema debera generar una vista unificada para consultar el historial de activos registrados en el CTA.	ALTA
RF-111	La vista de historial de activos debera permitir alternar la consulta entre computadores y vehiculos.	ALTA
